date,Station_No,PM2.5,TSP,O3,CO,NO2,SO2,Temperature,Humidity
20-04-2021 11:00,3,18.15,0.0,65.53148333,488.769,21.01566667,272.0433333,32.93166667,60.26833333
20-04-2021 11:00,4,25.915,112.4483333,93.20978333,851.86,7.935766667,366.3633333,33.265,57.55666667
20-04-2021 11:00,5,19.42166667,43.28166667,106.4273167,1946.099,24.81103333,618.32,33.07666667,56.445
20-04-2021 11:00,6,17.48474576,40.56271186,100.5787966,1095.304068,53.87623729,330.8305085,32.12033898,59.61694915
20-04-2021 12:00,1,20.565,48.07833333,144.5422333,774.887,80.11046667,251.9566667,32.70833333,60.83
20-04-2021 12:00,2,13.86833333,37.845,75.93538333,0.0,4.171766667,331.43,34.52166667,52.295
20-04-2021 12:00,3,13.77333333,0.0,39.94705,391.741,4.924566667,317.8933333,34.20833333,55.00166667
20-04-2021 12:00,4,19.58166667,44.24666667,89.38193333,639.659,6.932033333,348.46,34.19333333,53.59333333
20-04-2021 12:00,5,16.48,34.20833333,102.1414333,1324.585,29.95516667,515.2666667,33.52666667,54.175
20-04-2021 12:00,6,15.84833333,33.67666667,72.66371667,880.51,25.72066667,318.33,33.40333333,54.89166667
20-04-2021 13:00,1,19.165,46.00166667,121.8368667,641.569,50.814,254.5766667,33.49666667,57.745
20-04-2021 13:00,2,13.19,37.565,69.4902,0.0,2.791633333,355.01,34.85333333,50.94833333
20-04-2021 13:00,3,14.39166667,0.0,31.6043,485.331,0.941,379.9,34.66166667,53.265
20-04-2021 13:00,4,16.62166667,42.42666667,74.23411667,496.791,1.913366667,368.11,34.63333333,51.14166667
20-04-2021 13:00,5,16.26833333,35.88,98.24815,1101.688,26.75576667,489.0666667,33.82,52.69666667
20-04-2021 13:00,6,15.52666667,34.85,69.8828,883.566,20.07466667,352.39,33.885,53.15166667
20-04-2021 14:00,1,19.34666667,46.31166667,108.8156333,606.234,42.09406667,276.8466667,33.92333333,54.86833333
20-04-2021 14:00,2,13.06603774,37.28113208,72.07543396,0.0,2.982792453,366.8,34.78490566,49.68490566
20-04-2021 14:00,3,15.76166667,0.0,67.7235,536.137,12.92306667,348.46,34.525,54.48833333
20-04-2021 14:00,4,17.56,42.91833333,94.4203,553.327,13.86406667,362.4333333,34.56833333,51.91666667
20-04-2021 14:00,5,17.42333333,48.68,118.9905167,1547.482,44.85433333,542.34,33.77333333,53.335
20-04-2021 14:00,6,17.21,43.075,91.4758,1122.507,45.7326,399.9866667,33.89666667,53.48
20-04-2021 15:00,1,25.10166667,69.55833333,196.39815,765.146,105.9252333,224.8833333,33.40333333,58.76166667
20-04-2021 15:00,2,13.79666667,38.435,87.48436667,0.0,13.11126667,363.7433333,34.70666667,50.6
20-04-2021 15:00,3,18.78833333,0.0,66.08766667,564.596,12.64076667,367.2366667,34.31333333,55.33666667
20-04-2021 15:00,4,22.18333333,90.66666667,102.1087167,696.004,19.35323333,377.28,34.10166667,53.64
20-04-2021 15:00,5,17.81833333,71.35333333,122.1313167,1689.395,45.19936667,578.5833333,33.75333333,53.34333333
20-04-2021 15:00,6,17.81166667,47.24166667,96.35058333,1210.558,51.03356667,421.82,33.91666667,53.28
20-04-2021 16:00,1,21.44166667,58.845,140.06005,923.485,98.30313333,309.5966667,33.31,59.06
20-04-2021 16:00,2,20.87333333,50.87166667,180.30155,0.0,80.1732,316.5833333,30.40833333,70.31166667
20-04-2021 16:00,3,26.435,0.0,125.33755,870.578,65.43086667,327.0633333,31.17833333,67.76
20-04-2021 16:00,4,22.94,69.70166667,115.2281,1257.162,57.24416667,431.4266667,32.58166667,61.11333333
20-04-2021 16:00,5,21.08166667,48.63666667,141.23785,2049.43,65.74453333,603.0366667,32.02833333,62.82833333
20-04-2021 16:00,6,21.45833333,53.93166667,141.2705667,1536.404,110.8811667,441.0333333,31.23,66.43
20-04-2021 17:00,1,22.64,59.68333333,170.3229667,1364.886,178.0372,358.94,31.10333333,68.26666667
20-04-2021 17:00,2,26.97333333,57.63,187.0739,0.0,106.0193333,379.9,30.42666667,71.41333333
20-04-2021 17:00,3,34.735,0.0,127.595,1349.988,80.48686667,388.6333333,31.14166667,67.61
20-04-2021 17:00,4,26.41333333,67.865,130.3104833,2141.11,88.20306667,524.4366667,31.745,65.06
20-04-2021 17:00,5,22.56333333,53.34833333,164.9574333,3652.493,95.73106667,672.4666667,31.27,67.145
20-04-2021 17:00,6,24.74,61.55333333,142.8736833,2468.484,133.9356667,595.6133333,30.99333333,68.42833333
20-04-2021 18:00,1,22.66166667,55.67333333,188.15355,1311.597,230.8900333,307.4133333,29.23,78.69666667
20-04-2021 18:00,2,24.59433962,53.78301887,171.0032264,0.0,90.58456604,428.5924528,29.79811321,74.92264151
20-04-2021 18:00,3,42.18,0.0,120.62635,1915.539,87.35616667,491.6866667,30.255,71.03333333
20-04-2021 18:00,4,26.19166667,62.79,125.4029833,2002.253,90.4301,487.7566667,30.62833333,72.26833333
20-04-2021 18:00,5,20.80833333,44.845,161.7839167,2961.455,99.71463333,672.4666667,30.29,73.96333333
20-04-2021 18:00,6,21.81833333,53.54,128.67465,2556.917,132.9319333,610.0233333,30.46,72.72
20-04-2021 19:00,1,18.01666667,44.00166667,164.9574333,1307.013,218.4061,268.55,28.89666667,77.585
20-04-2021 19:00,2,21.68,50.79333333,142.5465167,0.0,91.4652,520.9433333,29.82666667,72.675
20-04-2021 19:00,3,29.76923077,0.0,109.928,2198.336538,86.68057692,546.1692308,31.03461538,70.15
20-04-2021 19:00,4,25.61166667,60.04,128.28205,1895.293,109.0932667,425.3133333,29.89333333,76.24833333
20-04-2021 19:00,5,17.285,36.87166667,145.6218833,3222.361,97.04846667,584.26,30.29333333,73.73833333
20-04-2021 19:00,6,24.315,64.44,124.9776667,5701.732,157.2411,477.7133333,30.455,73.145
20-04-2021 20:00,1,23.21833333,60.87833333,155.4368833,1539.842,222.2642,331.43,28.75666667,81.905
20-04-2021 20:00,2,22.05833333,50.18333333,135.0544,0.0,81.83563333,425.75,29.66666667,75.91166667
20-04-2021 20:00,3,24.685,0.0,99.29508333,2100.236,75.59366667,527.93,30.78833333,72.07333333
20-04-2021 20:00,4,26.48333333,64.24333333,124.9122333,1565.818,112.0103667,353.7,29.72833333,79.57166667
20-04-2021 20:00,5,16.25833333,35.32,132.0771833,2374.894,95.44876667,591.2466667,30.17166667,77.41
20-04-2021 20:00,6,22.99833333,66.75166667,116.1768833,3856.29,148.8034667,358.94,30.21833333,76.43666667
20-04-2021 21:00,1,19.57,46.56166667,137.11555,1042.669,201.8758667,267.24,28.6,85.66166667
20-04-2021 21:00,2,19.43166667,46.04,131.5537167,0.0,73.17843333,338.4166667,29.115,78.095
20-04-2021 21:00,3,22.51,0.0,96.80861667,1403.277,74.18216667,389.07,29.96,76.50666667
20-04-2021 21:00,4,26.61,65.565,107.7032667,1341.202,102.0044,327.0633333,29.64833333,80.71666667
20-04-2021 21:00,5,16.78,35.995,107.1798,1326.113,75.97006667,420.51,29.71166667,78.57833333
20-04-2021 21:00,6,19.295,45.05833333,98.70618333,1559.706,117.3113333,429.68,29.695,78.79833333
20-04-2021 22:00,1,16.40666667,41.97166667,121.1171,862.365,196.8258333,230.1233333,28.59833333,85.98333333
20-04-2021 22:00,2,18.35666667,44.77166667,134.8581,0.0,79.3263,279.9033333,28.72833333,81.28833333
20-04-2021 22:00,3,17.265,0.0,95.27093333,989.571,72.5511,298.68,29.28833333,78.425
20-04-2021 22:00,4,23.66166667,54.83166667,82.90403333,1086.026,68.09703333,297.8066667,29.46833333,78.74333333
20-04-2021 22:00,5,14.75833333,30.91166667,103.2538,946.787,70.8573,350.6433333,29.305,80.41
20-04-2021 22:00,6,17.30666667,40.60833333,97.98641667,1094.43,116.684,315.2733333,29.25,80.19
20-04-2021 23:00,1,17.37166667,45.14166667,116.2096,757.888,194.6929,202.6133333,28.38833333,86.59166667
20-04-2021 23:00,2,16.78333333,41.66833333,128.1184667,0.0,74.37036667,230.1233333,28.31666667,85.03666667
20-04-2021 23:00,3,18.76666667,0.0,91.83568333,796.088,75.21726667,254.5766667,28.80833333,82.26166667
20-04-2021 23:00,4,24.53333333,55.66,82.0534,743.945,66.93646667,241.9133333,29.15333333,81.555
20-04-2021 23:00,5,15.05,31.43333333,100.0475667,583.505,69.88493333,282.0866667,28.92333333,83.255
20-04-2021 23:00,6,18.25666667,40.215,95.72896667,808.694,115.7116333,244.0966667,28.88666667,83.39166667
21-04-2021 00:00,1,16.30666667,40.46,102.95935,596.493,170.6660333,183.4,28.33,87.27666667
21-04-2021 00:00,2,16.65333333,41.44666667,119.1541,0.0,75.0918,224.4466667,28.31,85.81666667
21-04-2021 00:00,3,20.18,0.0,83.91825,625.334,72.39426667,214.4033333,28.39,84.66833333
21-04-2021 00:00,4,27.915,62.56166667,78.29098333,638.704,64.14483333,215.2766667,28.9,82.94166667
21-04-2021 00:00,5,13.87666667,28.91166667,94.55116667,496.791,67.87746667,266.8033333,28.63833333,84.72
21-04-2021 00:00,6,16.88,35.38333333,88.07326667,688.746,112.2299333,211.3466667,28.65166667,84.96333333
21-04-2021 01:00,1,15.16,34.38666667,94.28943333,523.913,158.8408,175.54,28.16333333,87.29
21-04-2021 01:00,2,17.41034483,42.10862069,108.3034483,0.0,71.67824138,211.4068966,28.08103448,86.92241379
21-04-2021 01:00,3,21.46034483,0.0,77.87694828,585.8431034,72.13251724,207.3413793,28.10689655,86.12413793
21-04-2021 01:00,4,27.74166667,61.495,77.30948333,563.068,64.2703,200.43,28.69833333,83.83666667
21-04-2021 01:00,5,13.03,27.085,87.05905,522.194,64.30166667,293.8766667,28.46833333,85.55
21-04-2021 01:00,6,15.66,31.68666667,81.95525,650.355,107.3681,194.7533333,28.50833333,85.83166667
21-04-2021 02:00,1,14.00333333,31.44333333,92.32643333,483.803,149.7758333,162.8766667,28.12666667,87.14333333
